angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.0,"(839, 205, 371, 371)",0.0,0.0,0.96,0.0,0.0,0.03
0.0,"(840, 213, 365, 365)",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"(840, 213, 365, 365)",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"(841, 214, 364, 364)",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"(840, 214, 364, 364)",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"(840, 214, 364, 364)",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"(844, 214, 360, 360)",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"(844, 214, 360, 360)",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"(843, 213, 360, 360)",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"(843, 213, 360, 360)",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"(843, 213, 360, 360)",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"(854, 217, 361, 361)",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"(854, 217, 361, 361)",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"(844, 213, 358, 358)",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"(844, 213, 358, 358)",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"(844, 213, 358, 358)",0.0,0.0,1.0,0.0,0.0,0.0
0.01,"(836, 238, 351, 351)",0.0,0.03,0.0,0.92,0.03,0.0
0.01,"(836, 238, 351, 351)",0.0,0.03,0.0,0.92,0.04,0.0
0.01,"(836, 237, 353, 353)",0.0,0.04,0.0,0.92,0.04,0.0
0.01,"(837, 237, 352, 352)",0.0,0.03,0.0,0.91,0.04,0.0
0.01,"(837, 237, 352, 352)",0.0,0.03,0.0,0.91,0.04,0.0
0.01,"(828, 231, 363, 363)",0.0,0.04,0.0,0.83,0.1,0.01
0.02,"(827, 231, 364, 364)",0.0,0.06,0.0,0.77,0.14,0.01
0.03,"(821, 233, 367, 367)",0.0,0.05,0.0,0.7,0.22,0.0
0.04,"(821, 233, 367, 367)",0.0,0.05,0.0,0.69,0.22,0.0
